user_id,channel,feedback_date,feedback_text,user_role,firm_size,months_subscribed,monthly_queries,avg_session_duration_min,case_types_handled,row_hash,theme,severity,sentiment,cluster_id,is_representative
U14474,feedback_form,2024-07-08,Discovery motion templates need updating for recent rule changes. Still references old federal procedures that were amended in 2023. Causing confusion in federal court filings.,attorney,medium,14,367,15.2,"federal_litigation,complex_litigation",a45c1e762db3d58791b61e34c7a58fd3653beae4fe61afd95aa33bd119a4f364,jurisdiction_coverage,medium,negative,a45c1e762db3d58791b61e34c7a58fd3653beae4fe61afd95aa33bd119a4f364,True
U13550,phone_call,2024-07-10,Damages calculator for future medical expenses needs updating. Doesn't account for medical inflation rates properly and underestimates long-term care costs significantly.,attorney,medium,23,534,19.8,"medical_malpractice,catastrophic_injury",e2ca9e6dae0b47f4b6a87b293842bca5c53441a7b7b2d953d4268ced2fa8846d,calculation_accuracy,high,negative,e2ca9e6dae0b47f4b6a87b293842bca5c53441a7b7b2d953d4268ced2fa8846d,False
U14507,bug_report,2024-07-11,Client portal login system keeps timing out after 15 minutes of inactivity. Clients lose progress on document uploads and have to restart entire process.,case_manager,small,8,156,8.9,"personal_injury,auto_accident",e8832da6daed3e819a7a4f148dba01acce92403327ca39f410fc1ef3c0444a39,client_experience,medium,negative,e8832da6daed3e819a7a4f148dba01acce92403327ca39f410fc1ef3c0444a39,True
U12689,phone_call,2024-07-12,Statute of limitations tracker is buggy for maritime injury cases. It keeps defaulting to standard personal injury timeframes instead of Jones Act provisions.,attorney,medium,16,298,14.1,"maritime_injury,personal_injury",75860b0a43fc8dfe62bc300a831d4c2f6c1e5d451ce15d99b915feff1724d155,jurisdiction_coverage,critical,negative,75860b0a43fc8dfe62bc300a831d4c2f6c1e5d451ce15d99b915feff1724d155,False
U13583,slack,2024-07-13,just used the trial preparation checklist generator - it's comprehensive but missing key items for federal court procedures. seems optimized for state court practice,paralegal,small,5,167,9.6,"federal_litigation,personal_injury",53af3f6ebe3f3b057fe7197e54e7aefaa05fbb8995dedf565af0c74a6b52c859,jurisdiction_coverage,praise,positive,53af3f6ebe3f3b057fe7197e54e7aefaa05fbb8995dedf565af0c74a6b52c859,True
U14540,phone_call,2024-07-14,Comparative negligence calculator for multiple-defendant cases is sophisticated. Properly allocates fault percentages based on evidence and jurisdiction precedents. Very impressive!,attorney,large,30,701,27.8,"premises_liability,product_liability,auto_accident",a478876f7c608eebae546c7703415c09f63acf381e691380ec31bf433bcf748c,calculation_accuracy,praise,positive,a478876f7c608eebae546c7703415c09f63acf381e691380ec31bf433bcf748c,True
U12712,bug_report,2024-07-15,just discovered the batch document processing feature - uploaded 200 medical records and got summaries in 30 minutes. Saves days of time for mass tort cases!,paralegal,small,8,156,9.8,"medical_malpractice,auto_accident",302b382d714249cd842c20505cbbbebeae611b1802b41704ba8df881e94894f3,document_ai_quality,praise,positive,302b382d714249cd842c20505cbbbebeae611b1802b41704ba8df881e94894f3,True
U13616,feedback_form,2024-07-16,Case outcome prediction model is eerily accurate. Tested it on 20 closed cases and it correctly predicted outcomes in 18 cases. The confidence scores help with settlement strategy.,attorney,large,35,789,29.4,"complex_litigation,class_action,mass_tort",07912c72eb9d422d40feba893ebae0c4ec623e09ce66a2d654c6c8f05c279469,scoring_merit,praise,positive,07912c72eb9d422d40feba893ebae0c4ec623e09ce66a2d654c6c8f05c279469,True
U14573,slack,2024-07-17,"medical records timeline is great but needs better filtering options. want to see just surgical interventions or just diagnostic tests, not everything mixed together",paralegal,medium,13,298,11.6,"medical_malpractice,personal_injury",78807d7a550c9bbca5b9f5f157cd0794ca888b86e9da15b76f0d38dd3824dfb8,document_ai_quality,praise,positive,78807d7a550c9bbca5b9f5f157cd0794ca888b86e9da15b76f0d38dd3824dfb8,True
U12745,feedback_form,2024-07-18,"Medical records chronology feature saves brilliant amounts of time. Automatically sorts 400+ pages by date - used to take me two full days, now done in an hour.",attorney,small,11,387,19.2,"premises_liability,animal_attacks",4d1fd86ec4e4f9a487559009194d61b1f290a4612ec1113ae3cb20f7bb027da9,document_ai_quality,praise,positive,4d1fd86ec4e4f9a487559009194d61b1f290a4612ec1113ae3cb20f7bb027da9,True
U13649,phone_call,2024-07-19,"Client communication AI generates empathetic, professional messages but sometimes uses overly complex legal jargon. Clients prefer simpler language explanations.",case_manager,medium,10,289,12.7,"personal_injury,auto_accident",0ef4053d95582f88ea44e76590986c3a4542e972a6d9c185e0369266085f3c1f,client_experience,medium,negative,0ef4053d95582f88ea44e76590986c3a4542e972a6d9c185e0369266085f3c1f,True
U12778,slack,2024-07-20,"Medical record OCR is inaccurate on handwritten nursing notes. Accuracy drops to maybe 60% on cursive text, making transcriptions unreliable.",paralegal,large,21,445,16.7,"mass_tort,product_liability",eaf025673102ab8d0115cc132bce0a1158d05ec960146c12c6e1468b83cb28b4,document_ai_quality,medium,negative,eaf025673102ab8d0115cc132bce0a1158d05ec960146c12c6e1468b83cb28b4,True
U14606,feedback_form,2024-07-20,Automated research memo generation creates well-structured legal analysis but sometimes cites irrelevant cases. Need better relevance scoring in case law matching.,attorney,small,5,234,14.1,"appellate_practice,complex_litigation",eefe8ed15221099f69157473c12460b64051b727bf31967d9a5cd802b220985b,document_ai_quality,medium,negative,eefe8ed15221099f69157473c12460b64051b727bf31967d9a5cd802b220985b,True
U13682,bug_report,2024-07-21,Deposition scheduling integration with court reporting services keeps double-booking. Sync issues between CC calendar and external booking systems.,paralegal,small,9,134,8.5,"auto_accident,slip_and_fall",577d21180a4c1c3b79fa2874482574854814ecedde969a1cd66f2937eb6111ee,integrations_sync,medium,negative,577d21180a4c1c3b79fa2874482574854814ecedde969a1cd66f2937eb6111ee,True
U12801,phone_call,2024-07-22,"Client intake form AI is too aggressive in suggesting case merit. Had three low-value cases flagged as high potential, wasted time on initial research. Need better screening.",case_manager,medium,9,234,11.5,"auto_accident,slip_and_fall",30754f3f0d2e8150fc3d1a055e61214ad5473213d333c88ec588a83712c16019,scoring_merit,medium,negative,30754f3f0d2e8150fc3d1a055e61214ad5473213d333c88ec588a83712c16019,False
U14639,phone_call,2024-07-23,"Insurance policy analysis AI is incredibly thorough. Identifies coverage gaps, exclusions, and potential bad faith issues automatically. Essential for coverage disputes!",attorney,medium,18,456,20.7,"insurance_coverage,bad_faith,personal_injury",48f835a8d097654cc77acd6dc1b5770079641a62b557fbb9f30e9436dc09aa47,strategic_intelligence,praise,positive,48f835a8d097654cc77acd6dc1b5770079641a62b557fbb9f30e9436dc09aa47,True
U13715,feedback_form,2024-07-24,Medical records summarization for psychiatric injury cases is excellent. AI identifies key treatment patterns and medication changes that support mental anguish claims.,attorney,medium,14,398,17.2,"personal_injury,medical_malpractice,auto_accident",73d73c560beaad7b1bf032703459971449108b1d6c600f80004737e86e4e7d99,document_ai_quality,praise,positive,73d73c560beaad7b1bf032703459971449108b1d6c600f80004737e86e4e7d99,True
U12834,feedback_form,2024-07-25,"Document privilege review AI occasionally makes incorrect classifications, flagging attorney-client communications as discoverable. These inaccuracies are dangerous.",attorney,large,33,678,24.8,"class_action,mass_tort,complex_litigation",e50b08f4c6dadb107fc58a456e6231e67e3de8b7ab0a454ef1111a82749fb584,document_ai_quality,critical,negative,e50b08f4c6dadb107fc58a456e6231e67e3de8b7ab0a454ef1111a82749fb584,True
U14672,bug_report,2024-07-25,Witness contact management system duplicates entries when importing from external databases. Created 47 duplicate contacts for the same expert witness.,paralegal,large,22,545,17.3,"mass_tort,class_action",3fe8ec15e989f38f6e494e746d0130762a5ef2520892c7bfa2dfbe925646a60a,data_freshness,medium,negative,3fe8ec15e989f38f6e494e746d0130762a5ef2520892c7bfa2dfbe925646a60a,True
U13748,slack,2024-07-26,discovery compliance tracker is a lifesaver for complex cases. automatically monitors deadlines and flags potential sanctions risks. saved us from a major screw-up last week,paralegal,large,24,578,20.1,"class_action,complex_litigation",f1a783387a77718180f7937cd804ba7d56487c74204e66f2a56689435927cec6,document_ai_quality,praise,positive,f1a783387a77718180f7937cd804ba7d56487c74204e66f2a56689435927cec6,True
U12867,bug_report,2024-07-27,Client portal integration saves huge time on status updates. Clients can track case progress automatically without calling the office - saves hours of phone time weekly.,attorney,small,5,189,12.3,"personal_injury,premises_liability",b7ae6474f82d542f59c35bc6502a5c004c08a4ce4f1eb6146deed65ac87b88db,client_experience,praise,positive,b7ae6474f82d542f59c35bc6502a5c004c08a4ce4f1eb6146deed65ac87b88db,False
U13781,phone_call,2024-07-28,Settlement authority calculator helps determine realistic ranges but doesn't factor in client's emotional attachment to certain outcomes. Need more nuanced psychological modeling.,attorney,small,6,245,13.9,"wrongful_death,personal_injury",3d7de1011da271087453c052a47823de70f1a58ef0415eb7b5a2af1b61ca1b4d,calculation_accuracy,high,mixed,3d7de1011da271087453c052a47823de70f1a58ef0415eb7b5a2af1b61ca1b4d,True
U14705,feedback_form,2024-07-28,Settlement conference preparation tool generates excellent talking points and identifies key pressure points for negotiations. Helped achieve 40% higher settlement!,attorney,small,10,323,18.2,"auto_accident,premises_liability",4f2f4807be9b0407ae50eb74ec4cd0633ae2153cfe8a77fe6126241cc443138c,strategic_intelligence,praise,positive,4f2f4807be9b0407ae50eb74ec4cd0633ae2153cfe8a77fe6126241cc443138c,True
U12890,phone_call,2024-07-29,Opposing counsel database is fantastic. Cross-referenced their settlement patterns and found they typically settle 30% higher in Q4. Using this intel in negotiations now!,attorney,medium,17,512,21.6,"auto_accident,medical_malpractice,product_liability",3fb7bccaa4013b914b970393cdba0d4074d1dd8ec40c40fbe684903b05002972,strategic_intelligence,praise,positive,3fb7bccaa4013b914b970393cdba0d4074d1dd8ec40c40fbe684903b05002972,True
U14738,slack,2024-07-30,case expense tracking is useful but needs integration with accounting software. manually entering expenses defeats the automation purpose,case_manager,medium,9,267,12.8,"personal_injury,workers_comp",e028393220720759e50425714b443d84115cb6a32ca71266ebb74e5aef278e92,integrations_sync,medium,mixed,e028393220720759e50425714b443d84115cb6a32ca71266ebb74e5aef278e92,True
U13814,feedback_form,2024-07-31,Automated citation checking for legal briefs is fantastic. Catches outdated case law and suggests more recent precedents. Makes brief writing much more reliable.,attorney,medium,17,456,21.3,"appellate_practice,complex_litigation",23958d35d52300be0d1cfe6db32e0388c7f74296dd499de690aebcef7b41cc32,document_ai_quality,medium,mixed,23958d35d52300be0d1cfe6db32e0388c7f74296dd499de690aebcef7b41cc32,True
U12923,slack,2024-08-01,Automated citation checking for legal briefs saves so much time. Catches outdated case law instantly instead of spending hours manually verifying every citation.,attorney,small,7,298,15.9,"medical_malpractice,wrongful_death",955a78bca95e8a10689a1722cf3ea6db8d99b5e55e6d7750011761c4e083bd2a,document_ai_quality,medium,mixed,23958d35d52300be0d1cfe6db32e0388c7f74296dd499de690aebcef7b41cc32,False
U14771,phone_call,2024-08-01,Trial timeline generator creates comprehensive schedules but doesn't account for court holidays and local practice variations. Need jurisdiction-specific calendar integration.,paralegal,small,6,145,8.1,"personal_injury,slip_and_fall",ed76d0287ee68a8f21a6979cc1b407f23f2a999e10f6ad05353bd46151c32225,jurisdiction_coverage,medium,mixed,ed76d0287ee68a8f21a6979cc1b407f23f2a999e10f6ad05353bd46151c32225,True
U13847,bug_report,2024-08-02,Case value benchmarking tool crashes when analyzing cases with multiple defendants. Error occurs during liability apportionment calculations.,paralegal,large,21,523,16.8,"product_liability,premises_liability",1742988af3587ef6d253655b59ac78564b0c6d08e32e86040dbc6f50fb125a93,scale_performance,high,negative,1742988af3587ef6d253655b59ac78564b0c6d08e32e86040dbc6f50fb125a93,True
U12956,feedback_form,2024-08-03,Case merit scoring system is completely inaccurate - rating obvious losers as 7/10 and solid cases as 4/10. The algorithm seems backwards and incorrect.,case_manager,large,25,567,18.3,multi_case_types,7a255713d5fd127ac6e0b8e9da37f5e47efe943c61476033ba1df11361e00af4,scoring_merit,medium,negative,7a255713d5fd127ac6e0b8e9da37f5e47efe943c61476033ba1df11361e00af4,False
U14804,feedback_form,2024-08-03,Medical expense projection tool accurately forecasts future treatment costs based on injury severity and treatment patterns. Essential for life care planning!,attorney,large,33,712,28.6,"catastrophic_injury,medical_malpractice,wrongful_death",b2d2c60c4c2fb9debff4cee834aad6e3c50aa99963bc913a5ac776747810a7e9,calculation_accuracy,praise,positive,b2d2c60c4c2fb9debff4cee834aad6e3c50aa99963bc913a5ac776747810a7e9,True
U13880,phone_call,2024-08-04,Jury selection bias analysis is groundbreaking. AI identifies subtle patterns in juror responses that predict verdict tendencies. This is the future of trial practice!,attorney,medium,19,467,24.6,"medical_malpractice,product_liability,personal_injury",1dc23d0bf885e441a389fce6190d53bb5356f2954e3cca612695ae8c7df3a766,trial_prep,praise,positive,1dc23d0bf885e441a389fce6190d53bb5356f2954e3cca612695ae8c7df3a766,True
U12989,phone_call,2024-08-05,Automated court filing integration with state systems is buggy. Filed a motion in wrong format twice because CC didn't update for new local rules. Very embarrassing.,attorney,medium,12,334,13.7,"personal_injury,premises_liability",6a73af855c5375f0daa23fa821623224ac834e9b697038d835e8138007f3e612,jurisdiction_coverage,critical,negative,6a73af855c5375f0daa23fa821623224ac834e9b697038d835e8138007f3e612,True
U14837,bug_report,2024-08-05,Settlement demand calculator produces different results when same information entered in different order. Seems like calculation logic has ordering dependencies.,attorney,medium,17,423,16.9,"personal_injury,auto_accident",f5254f6c923856b81193936fc7eb4cebbd9aa5c7e0b268cb53e523bcd5206081,calculation_accuracy,unknown,unclassified,f5254f6c923856b81193936fc7eb4cebbd9aa5c7e0b268cb53e523bcd5206081,False
U13913,slack,2024-08-06,medical record OCR works great on typed reports but struggles with handwritten nursing notes. accuracy drops to maybe 60% on cursive text,paralegal,small,3,89,6.4,"medical_malpractice,nursing_home",1c2cca7d6bfb3640763861586705a3d70b9080693302c2b0295647551d94652a,document_ai_quality,medium,mixed,eaf025673102ab8d0115cc132bce0a1158d05ec960146c12c6e1468b83cb28b4,False
U13022,bug_report,2024-08-07,Calendar sync with Outlook keeps duplicating deposition appointments. Shows same depo at 2pm and 3pm. Causing scheduling conflicts with clients.,paralegal,medium,14,267,10.4,"auto_accident,workers_comp",af77ca6d560182731410f66db23a14417d22b3608af3689de1ac34e15e76c91b,integrations_sync,medium,negative,af77ca6d560182731410f66db23a14417d22b3608af3689de1ac34e15e76c91b,True
U14870,phone_call,2024-08-07,Jury questionnaire generator creates targeted questions based on case type and venue statistics. Helped identify biased jurors during voir dire process.,attorney,small,7,289,15.8,"medical_malpractice,product_liability",bca0c17062366d3fcbe34ac751df7114abb3d56620533bb424def9436ee3b910,trial_prep,praise,positive,bca0c17062366d3fcbe34ac751df7114abb3d56620533bb424def9436ee3b910,True
U13946,feedback_form,2024-08-08,Client intake chatbot pre-screens cases effectively. Filters out obviously non-viable claims and collects good initial information. Saves paralegal time on initial consultations.,case_manager,medium,12,334,11.9,"personal_injury,auto_accident,slip_and_fall",ab0a1f80c3fde3e9db91376e7fcba9310c6194c184c3c160eb549b4a57f529c5,client_experience,praise,positive,ab0a1f80c3fde3e9db91376e7fcba9310c6194c184c3c160eb549b4a57f529c5,True
U13055,feedback_form,2024-08-09,Case summary generator creates reports with incorrect medical terminology. Confuses 'cervical' with 'cerebral' and other terms. These inaccuracies are dangerous for client communications.,attorney,large,29,623,26.1,"medical_malpractice,wrongful_death,personal_injury",a5107c1fca9f287fe869093f7c590695f594a41890e430850854405352b62fb9,document_ai_quality,critical,negative,a5107c1fca9f287fe869093f7c590695f594a41890e430850854405352b62fb9,True
U14903,slack,2024-08-09,"document production organizer works well for small cases but becomes unwieldy with 10,000+ documents. need better folder structure and search capabilities",paralegal,large,24,634,19.5,"mass_tort,complex_litigation",b9774fccb8631ee2d556c272b2dd68bc889f6bd25c16b2f1ec2e639d531a01e2,scale_performance,medium,negative,b9774fccb8631ee2d556c272b2dd68bc889f6bd25c16b2f1ec2e639d531a01e2,True
U13979,phone_call,2024-08-10,Mediation brief generator creates well-structured documents but needs better customization for different mediator styles. Some prefer more aggressive positioning than others.,attorney,small,8,267,15.4,"auto_accident,premises_liability",16b41c8186bb65baca37d4e474abf849b0ced338a6fdaa0a25b1d2535fbf3028,document_ai_quality,low,unclassified,16b41c8186bb65baca37d4e474abf849b0ced338a6fdaa0a25b1d2535fbf3028,True
U14936,feedback_form,2024-08-11,Client satisfaction survey automation helps track service quality and identifies areas for improvement. Data-driven approach to client relationship management.,case_manager,medium,15,398,13.4,"personal_injury,auto_accident,premises_liability",c4bf17826b7d07641afc5afe9536e9b41887413f8cced5d299a4306cfa299b81,client_experience,praise,positive,c4bf17826b7d07641afc5afe9536e9b41887413f8cced5d299a4306cfa299b81,True
U13088,slack,2024-08-11,Client intake chatbot saves significant paralegal time on initial consultations. Pre-screens cases and collects information automatically - saves 2-3 hours per intake.,paralegal,small,6,123,8.2,"workers_comp,employment_law",a0015f14b64186f9824787dfeffbc17b7f22423916564d750384351cf051be90,client_experience,praise,positive,ab0a1f80c3fde3e9db91376e7fcba9310c6194c184c3c160eb549b4a57f529c5,False
U14012,bug_report,2024-08-12,Time tracking integration with billing software keeps losing entries. Logged 8.5 hours on case analysis but only 6.2 hours transferred to billing system.,paralegal,medium,15,398,13.6,"personal_injury,workers_comp",224ed3f5320948045b258c9f0491f479f1bc55b2d58bf63b7199b93170178ecf,integrations_sync,high,negative,224ed3f5320948045b258c9f0491f479f1bc55b2d58bf63b7199b93170178ecf,True
U13121,phone_call,2024-08-13,"Client portal integration is excellent. Clients can now track case progress, view documents, and get AI-generated status updates without calling the office. Huge efficiency gain!",case_manager,medium,18,445,17.8,"auto_accident,premises_liability,personal_injury",0c0cab274d424142350d8201c889f0ace0d8053b2ee73212021102416df70694,client_experience,praise,positive,b7ae6474f82d542f59c35bc6502a5c004c08a4ce4f1eb6146deed65ac87b88db,True
U14969,phone_call,2024-08-13,Damages summary generator for closing arguments creates compelling narratives but needs more emotional language options. Current templates are too clinical for jury impact.,attorney,small,11,356,17.6,"personal_injury,wrongful_death",5261432d6b8299d0522705211cbbd1a785ccdb48464b07af676c74d41d19bcc8,trial_prep,low,unclassified,5261432d6b8299d0522705211cbbd1a785ccdb48464b07af676c74d41d19bcc8,True
U13154,feedback_form,2024-08-14,Trial exhibit organization AI saves weeks of preparation time. Creates logical presentation sequences automatically instead of manual organization that used to take forever.,attorney,small,13,398,20.4,"slip_and_fall,auto_accident",3c33dd6e960bfd7f73a28f0cf65305c6de06c62297c63bd4831b27647bc6b0d2,trial_prep,praise,positive,3c33dd6e960bfd7f73a28f0cf65305c6de06c62297c63bd4831b27647bc6b0d2,True
U14045,feedback_form,2024-08-15,"Opposing counsel research tool is incredibly thorough. Provides win/loss records, average settlements, typical strategies, and even personality assessments. Game-changing intelligence!",attorney,large,28,656,25.7,"complex_litigation,class_action",f6af190595068cb711f3ea1c836dbdee9f7a541f251ff69a368e9d362c1a3aaa,strategic_intelligence,praise,positive,f6af190595068cb711f3ea1c836dbdee9f7a541f251ff69a368e9d362c1a3aaa,True
U15002,bug_report,2024-08-15,Case status dashboard shows incorrect progress percentages. Discovery shows 100% complete but we haven't received all defendant responses yet.,case_manager,medium,19,467,14.8,"complex_litigation,personal_injury",1ea43d665b560994e67c00b10f09cba214acde3eda1afc3a8beaf698109fefd3,data_freshness,medium,negative,1ea43d665b560994e67c00b10f09cba214acde3eda1afc3a8beaf698109fefd3,True
U12001,phone_call,2024-08-15,Love the new case timeline feature! It automatically organizes all the key dates and saves me hours of manual chronology work. Huge time saver for our team.,attorney,small,6,245,12.3,"slip_and_fall,auto_accident",6fe9cab7419e3d84ec445bd829f3ce4684e298a599e449ed2bca58f203f7182f,document_ai_quality,praise,positive,6fe9cab7419e3d84ec445bd829f3ce4684e298a599e449ed2bca58f203f7182f,True
U13187,bug_report,2024-08-16,"Medical bill review AI is inaccurate, flagging legitimate charges as potentially fraudulent. Too many incorrect false positives requiring manual review.",paralegal,large,20,556,15.9,"product_liability,class_action",8eae1d29842a65e97a5429ad108fba21441cc72fabc6af053b623d4e68c37648,document_ai_quality,medium,negative,8eae1d29842a65e97a5429ad108fba21441cc72fabc6af053b623d4e68c37648,False
U15035,feedback_form,2024-08-17,Automated fee agreement generation creates compliant documents for different states. Ensures proper disclosures and terms based on jurisdiction requirements.,attorney,large,29,656,23.1,"multi_state_practice,personal_injury",ac301e9dcc3e30cb3aa5098aa4a0bfc7804e507d9a26c3549a05b25583e3c73b,jurisdiction_coverage,unknown,unclassified,ac301e9dcc3e30cb3aa5098aa4a0bfc7804e507d9a26c3549a05b25583e3c73b,True
